	Бренд	Модель	Ширина линзы (мм)	Мост (мм)	Длина заушника (мм)	Ширина оправы (мм)
380	Top Vision	1.53 Trivex HMC				
381	Top Vision	SP 1.5 Transitions XTRActive HMC				
382	Top Vision	ASP 1.5 Transitions XTRActive HMC				
383	Top Vision	SP 1.6 Transitions XTRActive HMC				
384	Top Vision	ASP 1.6 Transitions XTRActive HMC				
385	Top Vision	SP 1.67 Transitions XTRActive				
386	Top Vision	ASP 1.67 Transitions XTRActive HMC				
387	Top Vision	Work 1.5 HMC				
388	Top Vision	Work 1.6 HMC				
389	Top Vision	Work 1.67/1.67 Blue Cut 420 HMC				
390	Top Vision	Work Premium 1.5 HMC				
391	Top Vision	Work Premium 1.6 HMC				
392	Top Vision	Work Premium 1.67/1.67 Blue Cut 420 HMC				
393	Top Vision	Novice 1.5 HMC				
394	Top Vision	Novice 1.6 HMC				
395	Top Vision	Novice 1.67 HMC				
396	Top Vision	SP 1.5 HMC (лентикуляры для положительных рефракций)				
397	Top Vision	SP 1.5 HMC (лентикуляры для отрицательных рефракций)				
398	Top Vision	SP 1.6 HMC (лентикуляры для отрицательных рефракций)				
399	Top Vision	Очковая линза Top Vision SP 1.67 HMC (лентикуляры для отрицательных рефракций)				
400	Top Vision	Safe PC 1.5 HMC Gold, Yellow, Peach, Cherry				
401	Top Vision	Night Drive 1.5 HMC Orange				
402	Top Vision	Life Drive1.5 HMC				
403	Top Vision	Life Drive 1.6 HMC				
404	Top Vision	Life Drive 1.67 HMC/Blue Cut 420				
405	Top Vision	Life Reader 1.5 HMC				
406	Top Vision	Life Reader 1.6 HMC				
407	Top Vision	Life Reader 1.67 HMC/Blue Cut 420				
408	Top Vision	Life Everyday 1.5 HMC				
409	Top Vision	Life Everyday 1.6 HMC				
410	Top Vision	Life Everyday 1.67 HMC/Blue Cut 420				
411	Matsuda	MA2527 c.2	55	16	143	140
412	Polaroid	PLD D419, KB7	51	19	145	133
413	Nicoleta Buchi	NB 747-01	51	20	140	137
414	Matsuda	Ky018-fold  (+2,5)	52	21	136	142
415	Matsuda	Компьютерные очки Ralph, RP 8082 c.1	55	13	140	140
416	Matsuda	Водительские клипоны на очки, авиатор коричневые	59	11		135
417	Pensne	Glodiatr Black (+1,0;+1,5;+2,0;+2,5)	42			
418	Pensne	Glodiatr Light Black (+1,0;+2,0;+2,5)	41	16		102
419	Essilor	1.5 Orma Thin Crizal Easy pro				
420	Optisee	SR 8011 c.1	53	19	140	135
421	Ray Ban	RB 7191-8142	53	19	140	142
422	Zeiss	Singie Vision 1.5 DV Platinum				
423	Zeiss	Single Vision 1.5 DV Blue Protect				
424	William Morris	LN50288 C1	54	16	143	137
425	Zeiss	Single Vision ClearView PhotoFusion X 1.6 Brown DV Platinum				
426	Zeiss	Single Vision ClearView PhotoFusion X 1.6 Grey DV Platinum				
427	Zeiss	Single Vision 1.6 DV Platinum UV				
428	Intramekk (сингапур)	Очковая линза INTRA MEKK, FSV 1.56 Sunactives Photocromic Brown HMC				
429	Intramekk (сингапур)	Очковая линза INTRA MEKK, FSV 1.56 Sunactives Photochromic Grey HMC				
430	Optisee	SR 6066 c.04	48	17	130	125
431	Polaroid	PLD D389/G, DDB	54	20	150	138
432	Tommy Hilfiger	TH 1540, 35J	49	20	145	135
433	Tommy Hilfiger	TH 1511/F, 807	55	17	145	143
434	Jessie Kids	JSGH-1504 TC13	39	14	110	104
435	Jessie Kids	JS-801 c.1	40	18	125	110
436	Jessie Kids	JSGH-1801 c.2	41	16	125	110
437	Nano	NAO50033	42	15	107	110
438	Nano	NAO620742	42	15	107	110
439	Nano	NAO3050347	47	14	136	120
440	Silicon Baby	NV163441	41	15	122	114
441	Nano	NAO620640	40	14	107	105
442	Seeoo	Seeoo Light Darck Brown (+1,5;+2,5)	37			
443	Synchrony	Synchrony Single Vision AS 1.67 HMC+				
444	Synchrony	Synchrony Single Vision 1.6 HMC+				
445	Synchrony	Synchrony Single Vision AS 1.56 HMC+				
446	Synchrony	Synchrony Single Vision 1.53 (Trivex) HMC+				
